SRR080687	FGSC 8829	SRX033294
SRR080688	FGSC 8870	SRX033295
SRR081479	FGSC 8871	SRX033369
SRR081546	FGSC 8872	SRX033410
SRR081585	FGSC 8874	SRX033477
SRR081586	FGSC 8876	SRX033487
SRR081801	FGSC 8878	SRX033498
SRR089764	FGSC 8783	SRX037168
SRR089765	FGSC 8784	SRX037169
SRR089766	FGSC 8787	SRX037170
SRR089767	FGSC 8789	SRX037171
SRR089768	FGSC 8790	SRX037172
SRR089769	FGSC 8816	SRX037173
SRR089771	FGSC 8819	SRX037174
SRR089778	FGSC 8845	SRX037180
SRR089779	FGSC 8848	SRX037181
SRR089780	FGSC 8850	SRX037182
SRR089781	FGSC 8851	SRX037183
SRR089782	FGSC 851	SRX037184
SRR089783	FGSC 1131	SRX037185
SRR089825	FGSC 1133	SRX037290
SRR089826	FGSC 1165	SRX037291
SRR089827	FGSC 2229	SRX037292
SRR089829	FGSC 2229b	SRX037294
SRR089831	FGSC 1132	SRX037295
SRR089833	FGSC 3223	SRX037297
SRR089834	FGSC 3968	SRX037299
SRR089835	FGSC 3975	SRX037300
SRR089836	FGSC 4708	SRX037301
SRR089837	FGSC 4712	SRX037302
SRR089840	FGSC 4713	SRX037305
SRR089842	FGSC 4715	SRX037306
SRR089843	FGSC 4716	SRX037308
SRR089844	FGSC 4730	SRX037309
SRR089845	FGSC 4824	SRX037310
SRR089846	FGSC 5910	SRX037311
SRR090355	FGSC 5914	SRX037511
SRR090360	FGSC 3200	SRX037512
SRR090362	FGSC 3211	SRX037514
SRR090363	FGSC 3199	SRX037515
SRR090364	FGSC 3943	SRX037516
SRR090366	FGSC 6203	SRX037518
SRR090465	Perkins 4450	SRX037601
SRR090466	Perkins 4452	SRX037602
SRR090467	Perkins 4455	SRX037603
SRR090468	Perkins 4465	SRX037604
SRR090469	Perkins 4476	SRX037605
SRR090470	Perkins 4496	SRX037607
