SRX033294	SRR080687
SRX033295	SRR080688
SRX033369	SRR081479
SRX033410	SRR081546
SRX033477	SRR081585
SRX033487	SRR081586
SRX033498	SRR081801
SRX037168	SRR089764
SRX037169	SRR089765
SRX037170	SRR089766
SRX037171	SRR089767
SRX037172	SRR089768
SRX037173	SRR089769
SRX037174	SRR089771
SRX037180	SRR089778
SRX037181	SRR089779
SRX037182	SRR089780
SRX037183	SRR089781
SRX037184	SRR089782
SRX037185	SRR089783
SRX037290	SRR089825
SRX037291	SRR089826
SRX037292	SRR089827
SRX037294	SRR089829
SRX037295	SRR089831
SRX037297	SRR089833
SRX037299	SRR089834
SRX037300	SRR089835
SRX037301	SRR089836
SRX037302	SRR089837
SRX037305 SRR089840
SRX037306 SRR089842
SRX037308 SRR089843
SRX037309 SRR089844
SRX037310 SRR089845
SRX037311 SRR089846
SRX037511 SRR090355
SRX037512 SRR090360
SRX037514 SRR090362
SRX037515 SRR090363
SRX037516 SRR090364
SRX037518 SRR090366
SRX037601 SRR090465
SRX037602 SRR090466
SRX037603 SRR090467
SRX037604 SRR090468
SRX037605 SRR090469
SRX037607 SRR090470
