chr - Nc_Supercontig_12.1 LG1 0 9798893 chr1
chr - Nc_Supercontig_12.2 LG2 0 4478683 chr2
chr - Nc_Supercontig_12.3 LG3 0 5274802 chr3
chr - Nc_Supercontig_12.4 LG4 0 6000761 chr4
chr - Nc_Supercontig_12.5 LG5 0 6436246 chr5
chr - Nc_Supercontig_12.6 LG6 0 4218384 chr6
chr - Nc_Supercontig_12.7 LG7 0 4255303 chr7
chr - Nc_Supercontig_12.8 scf8 0 192308 chr8
chr - Nc_Supercontig_12.9 scf9 0 142473 chr9
chr - Nc_Supercontig_12.10 scf10 0 125404 chr10
chr - Nc_Supercontig_12.11 scf11 0 31696 chr11
chr - Nc_Supercontig_12.12 scf12 0 19714 chr12
chr - Nc_Supercontig_12.13 scf13 0 13515 chr13
chr - Nc_Supercontig_12.14 scf14 0 11565 chr14
chr - Nc_Supercontig_12.15 scf15 0 9397 chr15
chr - Nc_Supercontig_12.16 scf16 0 8983 chr16
chr - Nc_Supercontig_12.17 scf17 0 6701 chr17
chr - Nc_Supercontig_12.18 scf18 0 6309 chr18
chr - Nc_Supercontig_12.19 scf19 0 4755 chr19
chr - Nc_Supercontig_12.20 scf20 0 1646 chr20
band Nc_Supercontig_12.1 band1 band1 0 643251 chr1
band Nc_Supercontig_12.1 band1 band1 643252 643375 black
band Nc_Supercontig_12.1 band1 band1 643376 1595103 chr1
band Nc_Supercontig_12.1 band1 band1 1595104 1595202 black
band Nc_Supercontig_12.1 band1 band1 1595203 1650314 chr1
band Nc_Supercontig_12.1 band1 band1 1650315 1650365 black
band Nc_Supercontig_12.1 band1 band1 1650366 2979394 chr1
band Nc_Supercontig_12.1 band1 band1 2979395 2979484 black
band Nc_Supercontig_12.1 band1 band1 2979485 4229217 chr1
band Nc_Supercontig_12.1 band1 band1 4229218 4229318 black
band Nc_Supercontig_12.1 band1 band1 4229319 4376044 chr1
band Nc_Supercontig_12.1 band1 band1 4376045 4376164 black
band Nc_Supercontig_12.1 band1 band1 4376165 4376838 chr1
band Nc_Supercontig_12.1 band1 band1 4376839 4376958 black
band Nc_Supercontig_12.1 band1 band1 4376959 5844844 chr1
band Nc_Supercontig_12.1 band1 band1 5844845 5844898 black
band Nc_Supercontig_12.1 band1 band1 5844899 6984291 chr1
band Nc_Supercontig_12.1 band1 band1 6984292 6984411 black
band Nc_Supercontig_12.1 band1 band1 6984412 7976221 chr1
band Nc_Supercontig_12.1 band1 band1 7976222 7976342 black
band Nc_Supercontig_12.1 band1 band1 7976343 8057761 chr1
band Nc_Supercontig_12.1 band1 band1 8057762 8057881 black
band Nc_Supercontig_12.1 band1 band1 8057882 8668427 chr1
band Nc_Supercontig_12.1 band1 band1 8668428 8668487 black
band Nc_Supercontig_12.1 band1 band1 8668488 8904673 chr1
band Nc_Supercontig_12.1 band1 band1 8904674 8904793 black
band Nc_Supercontig_12.1 band1 band1 8904794 9266872 chr1
band Nc_Supercontig_12.1 band1 band1 9266873 9266991 black
band Nc_Supercontig_12.1 band1 band1 9266992 9461010 chr1
band Nc_Supercontig_12.1 band1 band1 9461011 9461134 black
band Nc_Supercontig_12.1 band1 band1 9461135 9463680 chr1
band Nc_Supercontig_12.1 band1 band1 9463681 9463801 black
band Nc_Supercontig_12.1 band1 band1 9463802 9798893 chr1
band Nc_Supercontig_12.2 band1 band1 0 562311 chr2
band Nc_Supercontig_12.2 band1 band1 562312 562431 black
band Nc_Supercontig_12.2 band1 band1 562432 583576 chr2
band Nc_Supercontig_12.2 band1 band1 583577 583696 black
band Nc_Supercontig_12.2 band1 band1 583697 615278 chr2
band Nc_Supercontig_12.2 band1 band1 615279 615398 black
band Nc_Supercontig_12.2 band1 band1 615399 724504 chr2
band Nc_Supercontig_12.2 band1 band1 724505 724624 black
band Nc_Supercontig_12.2 band1 band1 724625 813697 chr2
band Nc_Supercontig_12.2 band1 band1 813698 813817 black
band Nc_Supercontig_12.2 band1 band1 813818 818774 chr2
band Nc_Supercontig_12.2 band1 band1 818775 818894 black
band Nc_Supercontig_12.2 band1 band1 818895 822576 chr2
band Nc_Supercontig_12.2 band1 band1 822577 822696 black
band Nc_Supercontig_12.2 band1 band1 822697 920272 chr2
band Nc_Supercontig_12.2 band1 band1 920273 920391 black
band Nc_Supercontig_12.2 band1 band1 920392 963838 chr2
band Nc_Supercontig_12.2 band1 band1 963839 963958 black
band Nc_Supercontig_12.2 band1 band1 963959 1454118 chr2
band Nc_Supercontig_12.2 band1 band1 1454119 1454238 black
band Nc_Supercontig_12.2 band1 band1 1454239 1464568 chr2
band Nc_Supercontig_12.2 band1 band1 1464569 1464688 black
band Nc_Supercontig_12.2 band1 band1 1464689 1465507 chr2
band Nc_Supercontig_12.2 band1 band1 1465508 1465627 black
band Nc_Supercontig_12.2 band1 band1 1465628 1817496 chr2
band Nc_Supercontig_12.2 band1 band1 1817497 1817616 black
band Nc_Supercontig_12.2 band1 band1 1817617 1833160 chr2
band Nc_Supercontig_12.2 band1 band1 1833161 1833251 black
band Nc_Supercontig_12.2 band1 band1 1833252 1836872 chr2
band Nc_Supercontig_12.2 band1 band1 1836873 1836991 black
band Nc_Supercontig_12.2 band1 band1 1836992 1855102 chr2
band Nc_Supercontig_12.2 band1 band1 1855103 1855222 black
band Nc_Supercontig_12.2 band1 band1 1855223 1860135 chr2
band Nc_Supercontig_12.2 band1 band1 1860136 1860255 black
